N_u,E_r
1008,4.9275279045105
1007,4.89976358413696
1005,1.98485934734344
1004,6.27594137191772
1004,1.58453643321991
1008,3.17273235321045
1007,1.00092113018036
1008,0.984059393405914
1006,1.47836101055145
1010,3.05616331100464
1004,2.14968514442444
1002,1.21071374416351
1004,0.745405256748199
1005,2.24882912635803
1008,4.94098138809204
1004,1.3926192522049
1008,3.30550312995911
1002,2.40281176567078
1009,3.09847378730774
1006,3.8611912727356
1009,2.33723664283752
1002,2.47071409225464
1002,2.8146858215332
1004,2.2489812374115
1009,1.62628436088562
1007,8.57466411590576
1007,2.23636484146118
1007,8.68601608276367
1007,6.13852167129517
1005,4.01552867889404
1005,1.12867605686188
1002,1.0655210018158
1010,4.47949934005737
1010,5.67324686050415
1006,6.58353614807129
1005,6.5591607093811
1008,1.66185009479523
1005,6.60182952880859
1007,7.62052345275879
1006,2.61697578430176
1007,3.43377494812012
1006,4.14766883850098
1007,4.04602670669556
1012,4.96498918533325
1002,4.41052770614624
1007,4.29022121429443
1011,7.13369750976563
1004,5.50572013854981
1005,0.765652298927307
1005,3.69333434104919
1007,3.36976337432861
1005,5.30869483947754
1002,2.47832655906677
1005,6.8683705329895
1004,1.24994349479675
1007,4.37012243270874
1010,4.19517040252686
1003,6.61757183074951
1005,1.74471843242645
1003,1.8850189447403
1008,2.70309400558472
1007,2.77592754364014
1006,6.91671657562256
1008,1.12032890319824
1005,7.27053499221802
1003,0.682232201099396
1002,4.71575927734375
1005,2.90225672721863
1006,3.33754301071167
1007,1.52868139743805
1004,2.55518317222595
1005,7.61097526550293
1004,1.52336657047272
1007,1.52282655239105
1004,1.77137446403503
1005,2.44752335548401
1007,4.64093017578125
1000,2.96934247016907
1004,3.15854454040527
1006,4.49009227752686
1009,8.65157032012939
1006,6.43176603317261
1008,6.42070722579956
1006,2.31763195991516
1009,2.82475900650024
1007,2.84181356430054
1005,5.88129806518555
1006,0.190956056118012
1006,1.22192394733429
1007,4.02605295181274
1001,0.93378072977066
1002,0.623518109321594
1004,2.07186698913574
1004,2.25577569007874
1006,4.49756813049316
1007,2.60437870025635
1009,4.0682692527771
1007,3.23758435249329
1009,2.4381377696991
1007,2.26565742492676
1008,6.92366361618042
1005,2.48051238059998
1001,3.88684630393982
1004,2.68167400360107
1002,6.97668981552124
1005,3.08981585502625
1001,3.9851279258728
1009,7.72787857055664
1005,4.00485897064209
1006,5.88490962982178
1003,5.01208782196045
1007,2.60173892974854
1010,5.22787284851074
1005,0.684287190437317
1004,6.22872877120972
1005,3.22711515426636
1003,3.26942563056946
1004,3.58299446105957
1005,4.83763122558594
1002,2.43908381462097
1007,6.110182762146
1007,5.15205097198486
1005,2.43316292762756
1006,1.83070123195648
1003,2.01355004310608
1002,4.0780987739563
1004,0.928767085075378
1003,2.62182116508484
1005,4.72590732574463
1004,3.36445307731628
1003,4.87535429000855
1007,3.59271311759949
1001,1.44147992134094
1002,3.93766403198242
1003,0.900309801101685
1002,2.43752527236938
1001,0.901582360267639
999,0.903690695762634
1001,2.58009028434753
1004,6.66208219528198
1001,5.42321109771729
1001,1.75139915943146
1002,1.59450781345367
1000,4.96668577194214
1001,3.98665475845337
991,2.2061882019043
994,2.78221106529236
987,4.54129457473755
989,4.63386869430542
983,3.45490336418152
974,5.98246622085571
986,5.25818538665772
962,0.904252231121063
981,3.58045721054077
964,9.67653369903564
956,5.30960321426392
952,7.05503749847412
945,5.64494705200195
944,6.09953737258911
967,4.79340505599976
940,7.03636789321899
939,6.84926986694336
909,3.34349417686462
930,2.85419225692749
916,2.46221733093262
907,3.29684591293335
924,4.06036233901978
930,3.45185494422913
914,2.4746413230896
916,0.330593049526215
926,6.36333799362183
900,6.1855640411377
891,3.65975189208984
894,3.89947628974915
896,1.60288274288178
881,2.86202692985535
900,1.67101430892944
897,3.22296857833862
885,4.18843603134155
890,2.91051697731018
877,4.54108190536499
878,4.57109832763672
897,7.19060564041138
884,1.65760087966919
873,1.86707127094269
