Nu,Er
1004,6.26646041870117
1004,6.3619384765625
1008,0.110775150358677
1004,6.30324125289917
1003,6.30649662017822
1005,0.113492362201214
1002,0.111546918749809
1004,0.965612173080444
1012,6.26685905456543
1004,0.100660674273968
1004,6.31168603897095
1005,6.30486726760864
1003,0.134857311844826
1003,6.30248689651489
1004,6.31262588500977
1006,6.36533117294312
1004,6.27972507476807
1003,1.1498076915741
1009,0.081662595272064
1002,0.093330346047878
1007,6.33511734008789
1003,6.31927394866943
1007,6.2874059677124
1007,6.26888179779053
1007,6.26937913894653
1004,6.19617319107056
1004,6.26991987228394
1005,6.32035732269287
1005,0.988826155662537
1004,6.31669235229492
1005,6.28865623474121
1006,0.970906138420105
1005,6.32242298126221
1003,0.112217999994755
1005,0.156881168484688
1005,0.130581840872765
1003,0.110322341322899
1005,0.083446942269802
1005,0.133600264787674
1006,6.25887155532837
1003,6.23648977279663
1006,0.10057283192873
1006,0.137618348002434
1007,0.116400316357613
1004,0.221129775047302
1003,0.104875594377518
1003,6.24510669708252
1001,6.23538208007813
1004,6.28375816345215
1006,0.183870956301689
1003,6.25859498977661
1004,6.32914876937866
1004,0.115155585110188
1008,6.22273969650269
1004,6.26217460632324
1005,0.122166804969311
1004,6.22691440582275
1007,0.122709833085537
1006,0.146651923656464
1004,0.131093055009842
1004,6.21689748764038
1005,6.25640869140625
1009,6.2662672996521
1001,6.30304908752441
1009,6.28070163726807
1005,6.26025390625
1006,6.28097915649414
1004,0.127593740820885
1004,0.158929169178009
1005,6.2696270942688
1004,6.2505669593811
1006,0.112152867019176
1005,0.077624924480915
1003,6.31826210021973
1003,0.956195175647736
1001,6.32698726654053
1003,6.2476282119751
1005,0.160868138074875
1005,6.2977819442749
1006,0.177198454737663
1006,0.190254926681519
1007,0.08027409017086
1006,6.22891855239868
1005,0.137047633528709
1003,3.67848086357117
1005,6.23582172393799
1002,6.25271224975586
1004,0.219523131847382
1006,0.200167626142502
1003,0.078284680843353
1005,0.183161556720734
1005,0.104957766830921
1003,0.13110263645649
1004,0.192075788974762
1004,0.227777183055878
1005,0.163357883691788
1006,0.202358171343803
1002,0.102075256407261
1004,0.100680395960808
1005,0.076580204069614
1003,6.27257919311523
1006,0.108609929680824
1005,6.26211547851563
1007,0.99129331111908
1006,6.30047655105591
1003,6.3249306678772
1004,6.22603178024292
1003,6.25196695327759
1003,6.26058483123779
1007,4.5208797454834
1005,1.00226902961731
1007,0.128796830773354
1003,0.075613237917423
1004,0.19719523191452
1004,6.33486747741699
1003,6.29839468002319
1006,0.987305641174316
1003,6.34473896026611
1005,0.95286476612091
1007,0.208972185850143
1002,6.24385452270508
1003,0.204440370202064
1007,6.27087545394897
1002,6.2794303894043
1006,6.25726079940796
1004,1.02522122859955
1006,0.246158793568611
1004,6.24456787109375
1008,0.199841484427452
1006,0.19005474448204
1006,6.30025482177734
1002,6.34993982315064
1003,6.3377799987793
1008,6.29240703582764
1002,6.30540990829468
1002,6.25566959381104
1003,0.320923388004303
1006,0.141067773103714
1006,0.19930562376976
1003,0.320914924144745
1004,6.33475399017334
1005,6.28970003128052
1005,6.28829145431519
1003,0.969640135765076
1004,1.08327805995941
1003,0.430117636919022
1005,0.127534717321396
1008,0.434177219867706
1006,6.28350448608398
1003,4.43890762329102
1005,6.3759503364563
1005,6.35482215881348
1006,6.38753604888916
1009,0.963861584663391
1005,6.33608055114746
1007,2.15920305252075
1003,2.9847457408905
1006,1.46096551418304
1004,4.16009426116943
1007,2.48111414909363
1006,2.4769184589386
1005,3.11240601539612
1006,3.21371746063232
1004,2.84206104278564
1006,1.89356315135956
1005,1.13454592227936
1005,2.22806310653687
1004,5.67690801620483
1006,0.454410761594772
1005,1.19703221321106
1005,1.52149021625519
1006,6.19850873947144
1005,6.33730697631836
1005,2.31495833396912
1007,6.2356972694397
1007,5.89614534378052
1002,3.16743421554565
1005,2.36862206459045
1001,2.76682162284851
1002,3.02969264984131
1007,2.91174912452698
1006,2.95803427696228
1005,2.91567492485046
1003,1.78515827655792
1004,1.0492217540741
1005,1.12914597988129
1003,3.14021897315979
1002,5.59602069854736
1004,1.00869286060333
1004,5.44739389419556
1005,0.991235852241516
1003,6.07699012756348
1005,7.10577869415283
1006,6.0729775428772
1007,2.82415270805359
1009,0.871832549571991
1002,2.68171691894531
1006,2.57155609130859
1004,0.895031630992889
1004,1.53826808929443
1008,2.7186324596405
1004,1.66186153888702
1004,2.24493718147278
1004,3.02416300773621
1006,1.64160895347595
1008,6.23467826843262
1009,1.87140703201294
1008,3.77451038360596
1004,3.67803406715393
1007,6.23289823532105
1006,3.66043782234192
1007,3.23955345153809
1006,1.95451736450195
1006,1.80287802219391
1004,0.947026252746582
1005,1.90135788917542
1007,6.20148706436157
1007,1.87223124504089
1009,1.7599641084671
1005,1.76239061355591
1004,6.11125898361206
1005,1.70340490341187
1003,6.19244050979614
1003,6.18690919876099
1007,3.46429634094238
1009,3.543949842453
1006,1.77212774753571
1005,3.52822184562683
1004,3.54281663894653
1004,1.79287540912628
1009,3.49731945991516
1002,3.52757406234741
1003,3.47939705848694
1006,0.64585292339325
1004,3.50450658798218
1005,3.46940517425537
1003,3.46847820281982
1005,3.54000186920166
1003,3.50182104110718
1003,6.09703731536865
1008,3.51897048950195
1005,3.50666427612305
1012,3.51000237464905
1008,3.49760270118713
1006,3.51988840103149
1006,3.47543334960937
1006,1.90737152099609
1005,3.46200037002563
1005,3.48447179794312
1006,0.783109664916992
1006,1.83530688285828
1005,3.485435962677
1011,1.81256473064423
1010,1.65599238872528
1007,1.74182772636414
1005,3.50169682502747
1006,3.49053645133972
1006,3.4993257522583
1004,1.6829868555069
1007,3.50114250183105
1006,1.68372011184692
1006,3.50414133071899
1006,6.15791797637939
1005,0.778172135353088
1005,3.49138116836548
1005,3.50303030014038
1003,3.4686107635498
1008,3.47522020339966
1005,3.50573801994324
1008,3.53961253166199
1005,0.758550226688385
1002,3.50818109512329
1005,3.4848575592041
1011,3.50860905647278
1007,3.52898120880127
1005,3.51511907577515
1005,3.49113726615906
1004,1.21779406070709
1004,3.47834753990173
1006,3.47992587089539
1006,3.44788074493408
1005,0.570523202419281
1003,1.68318390846252
1008,3.55405640602112
1007,3.52315402030945
1008,0.651010096073151
1005,3.46639108657837
1006,3.5171205997467
1005,1.58077883720398
1007,3.4675509929657
1007,3.47340846061707
1007,3.44032883644104
1006,1.6597672700882
1007,3.49736475944519
